Date,Ticker,Sector,Industry,Open,High,Low,Close,Volume
2018-01-02,CPRT,Automobiles,Auto & Truck Dealerships,43.52,43.67,43.19,43.6,860740.0
2018-01-03,CPRT,Automobiles,Auto & Truck Dealerships,43.63,43.85,43.2,43.39,1152481.0
2018-01-04,CPRT,Automobiles,Auto & Truck Dealerships,43.5,43.95,43.3,43.74,1164240.0
2018-01-05,CPRT,Automobiles,Auto & Truck Dealerships,43.77,43.88,43.03,43.53,922916.0
2018-01-08,CPRT,Automobiles,Auto & Truck Dealerships,43.59,43.86,43.28,43.55,1254075.0
2018-01-09,CPRT,Automobiles,Auto & Truck Dealerships,43.63,43.7,43.1,43.48,1027322.0
2018-01-10,CPRT,Automobiles,Auto & Truck Dealerships,43.45,43.59,43.2,43.52,1118958.0
2018-01-11,CPRT,Automobiles,Auto & Truck Dealerships,43.57,44.5,43.56,44.5,1125783.0
2018-01-12,CPRT,Automobiles,Auto & Truck Dealerships,44.51,44.87,44.13,44.85,774680.0
2018-01-16,CPRT,Automobiles,Auto & Truck Dealerships,45.08,45.26,44.16,44.32,817773.0
2018-01-17,CPRT,Automobiles,Auto & Truck Dealerships,44.51,44.51,44.07,44.33,1268985.0
2018-01-18,CPRT,Automobiles,Auto & Truck Dealerships,44.29,44.75,44.26,44.6,660994.0
2018-01-19,CPRT,Automobiles,Auto & Truck Dealerships,45.0,46.09,44.69,45.67,1292174.0
2018-01-22,CPRT,Automobiles,Auto & Truck Dealerships,45.67,45.85,44.98,45.42,1087909.0
2018-01-23,CPRT,Automobiles,Auto & Truck Dealerships,45.42,45.61,44.95,44.99,1004478.0
2018-01-24,CPRT,Automobiles,Auto & Truck Dealerships,45.14,45.34,44.45,44.72,1071969.0
2018-01-25,CPRT,Automobiles,Auto & Truck Dealerships,44.86,45.16,44.66,44.98,775444.0
2018-01-26,CPRT,Automobiles,Auto & Truck Dealerships,45.01,45.35,44.67,45.34,519728.0
2018-01-29,CPRT,Automobiles,Auto & Truck Dealerships,45.27,45.32,44.72,44.79,500772.0
2018-01-30,CPRT,Automobiles,Auto & Truck Dealerships,44.55,44.92,44.3,44.4,698621.0
2018-01-31,CPRT,Automobiles,Auto & Truck Dealerships,44.58,44.77,43.79,44.07,846497.0
2018-02-01,CPRT,Automobiles,Auto & Truck Dealerships,43.99,44.18,43.47,43.62,760465.0
2018-02-02,CPRT,Automobiles,Auto & Truck Dealerships,43.35,43.65,43.2,43.44,1006622.0
2018-02-05,CPRT,Automobiles,Auto & Truck Dealerships,43.02,43.43,41.63,41.71,989338.0
2018-02-06,CPRT,Automobiles,Auto & Truck Dealerships,40.65,41.85,39.21,41.76,1615287.0
2018-02-07,CPRT,Automobiles,Auto & Truck Dealerships,41.6,42.17,41.52,41.74,672031.0
2018-02-08,CPRT,Automobiles,Auto & Truck Dealerships,41.73,42.36,40.74,40.75,1005662.0
2018-02-09,CPRT,Automobiles,Auto & Truck Dealerships,40.99,41.82,40.29,41.54,1266925.0
2018-02-12,CPRT,Automobiles,Auto & Truck Dealerships,42.35,43.26,42.02,42.83,1426406.0
2018-02-13,CPRT,Automobiles,Auto & Truck Dealerships,42.54,43.32,42.09,43.19,1570968.0
2018-02-14,CPRT,Automobiles,Auto & Truck Dealerships,43.07,44.91,42.94,44.9,1534601.0
2018-02-15,CPRT,Automobiles,Auto & Truck Dealerships,44.92,45.93,44.1,45.74,2093706.0
2018-02-16,CPRT,Automobiles,Auto & Truck Dealerships,45.6,46.62,45.3,46.47,2261389.0
2018-02-20,CPRT,Automobiles,Auto & Truck Dealerships,46.33,47.11,46.11,46.83,3829457.0
2018-02-21,CPRT,Automobiles,Auto & Truck Dealerships,47.04,47.65,46.05,46.11,2127584.0
2018-02-22,CPRT,Automobiles,Auto & Truck Dealerships,46.24,46.55,45.89,46.2,1659967.0
2018-02-23,CPRT,Automobiles,Auto & Truck Dealerships,46.43,46.82,45.93,46.77,1437270.0
2018-02-26,CPRT,Automobiles,Auto & Truck Dealerships,49.46,50.71,46.74,46.92,2944590.0
2018-02-27,CPRT,Automobiles,Auto & Truck Dealerships,47.34,48.68,47.06,47.67,2176297.0
2018-02-28,CPRT,Automobiles,Auto & Truck Dealerships,47.94,47.98,46.72,46.81,2274109.0
2018-03-01,CPRT,Automobiles,Auto & Truck Dealerships,46.82,47.1,45.51,45.95,1455010.0
2018-03-02,CPRT,Automobiles,Auto & Truck Dealerships,45.63,46.25,45.45,46.16,1361465.0
2018-03-05,CPRT,Automobiles,Auto & Truck Dealerships,45.95,47.51,45.77,47.5,1410623.0
2018-03-06,CPRT,Automobiles,Auto & Truck Dealerships,47.55,49.06,47.38,49.04,3326782.0
2018-03-07,CPRT,Automobiles,Auto & Truck Dealerships,48.5,49.58,48.5,49.53,2130785.0
2018-03-08,CPRT,Automobiles,Auto & Truck Dealerships,49.67,49.75,48.51,49.1,1782496.0
2018-03-09,CPRT,Automobiles,Auto & Truck Dealerships,49.47,50.21,49.18,50.11,1383501.0
2018-03-12,CPRT,Automobiles,Auto & Truck Dealerships,50.22,51.2,50.16,51.11,1820808.0
2018-03-13,CPRT,Automobiles,Auto & Truck Dealerships,51.16,51.51,50.51,50.78,1657484.0
2018-03-14,CPRT,Automobiles,Auto & Truck Dealerships,50.83,51.32,50.39,50.71,1114705.0
2018-03-15,CPRT,Automobiles,Auto & Truck Dealerships,50.71,50.71,50.14,50.3,840946.0
2018-03-16,CPRT,Automobiles,Auto & Truck Dealerships,50.2,51.3,50.2,51.04,1695394.0
2018-03-19,CPRT,Automobiles,Auto & Truck Dealerships,50.93,51.14,50.03,50.45,1224856.0
2018-03-20,CPRT,Automobiles,Auto & Truck Dealerships,50.46,51.3,50.07,51.26,934898.0
2018-03-21,CPRT,Automobiles,Auto & Truck Dealerships,51.19,51.68,51.08,51.25,838168.0
2018-03-22,CPRT,Automobiles,Auto & Truck Dealerships,50.89,51.21,49.85,49.87,789317.0
2018-03-23,CPRT,Automobiles,Auto & Truck Dealerships,50.36,50.95,49.5,49.73,1032286.0
